sentence,condition,item,group
הטקסט שהתלמיד שהציון הדאיג ניתח תורגם.,a,1,1
הטקסט שהתלמיד שהציון ניתח תורגם.,b,1,2
הטקסט שהתלמיד שהציון הדאיג תורגם.,c,1,3
הטקסט שהתלמיד שהציון הדאיג ניתח.,d,1,4
הקפה שהלקוח שהקטנוע הבהיל שתה נשפך.,a,2,4
הקפה שהלקוח שהקטנוע שתה נשפך.,b,2,1
הקפה שהלקוח שהקטנוע הבהיל נשפך.,c,2,2
הקפה שהלקוח שהקטנוע הבהיל שתה.,d,2,3
הקיר שהקבלן שהמסמר פצע צָבַע שופץ.,a,3,3
הקיר שהקבלן שהמסמר צָבַע שופץ.,b,3,4
הקיר שהקבלן שהמסמר פצע שופץ.,c,3,1
הקיר שהקבלן שהמסמר פצע צָבַע.,d,3,2
השיר שהזוג שהריקוד עִיֵּף שמע התארך.,a,4,2
השיר שהזוג שהריקוד שמע התארך.,b,4,3
השיר שהזוג שהריקוד עִיֵּף התארך.,c,4,4
השיר שהזוג שהריקוד עִיֵּף שמע.,d,4,1
הג׳קט שהבחור שהפודקאסט ריתק גיהץ נשרף.,a,5,1
הג׳קט שהבחור שהפודקאסט גיהץ נשרף.,b,5,2
הג׳קט שהבחור שהפודקאסט ריתק נשרף.,c,5,3
הג׳קט שהבחור שהפודקאסט ריתק גיהץ.,d,5,4
הדיוקן שהאמן שהאור סינוור צייר נמכר.,a,6,4
הדיוקן שהאמן שהאור צייר נמכר.,b,6,1
הדיוקן שהאמן שהאור סינוור נמכר.,c,6,2
הדיוקן שהאמן שהאור סינוור צייר.,d,6,3
המספר שהשכן שהרעש הטריד חייג נותק.,a,7,3
המספר שהשכן שהרעש חייג נותק.,b,7,4
המספר שהשכן שהרעש הטריד נותק.,c,7,1
המספר שהשכן שהרעש הטריד חייג.,d,7,2
הסיוט שהילד שהזיקוק הפחיד זכר חזר.,a,8,2
הסיוט שהילד שהזיקוק זכר חזר.,b,8,3
הסיוט שהילד שהזיקוק הפחיד חזר.,c,8,4
הסיוט שהילד שהזיקוק הפחיד זכר.,d,8,1
הצעיף שהזקן שהעיתון עִנְיֵן סרג נאבד.,a,9,1
הצעיף שהזקן שהעיתון סרג נאבד.,b,9,2
הצעיף שהזקן שהעיתון עִנְיֵן נאבד.,c,9,3
הצעיף שהזקן שהעיתון עִנְיֵן סרג.,d,9,4
הרכב שהנהג שהתמרור הזהיר החנה נגרר.,a,10,4
הרכב שהנהג שהתמרור החנה נגרר.,b,10,1
הרכב שהנהג שהתמרור הזהיר נגרר.,c,10,2
הרכב שהנהג שהתמרור הזהיר החנה.,d,10,3
הסיר שהטבח שהמזלג דקר ניקה נפל.,a,11,3
הסיר שהטבח שהמזלג ניקה נפל.,b,11,4
הסיר שהטבח שהמזלג דקר נפל.,c,11,1
הסיר שהטבח שהמזלג דקר ניקה.,d,11,2
הפופקורן שהילד שהסרט הצחיק אכל התפזר.,a,12,2
הפופקורן שהילד שהסרט אכל התפזר.,b,12,3
הפופקורן שהילד שהסרט הצחיק התפזר.,c,12,4
הפופקורן שהילד שהסרט הצחיק אכל.,d,12,1
השיר שהמוזיקאי שהרדיו השמיע כתב התפרסם.,a,13,1
השיר שהמוזיקאי שהרדיו כתב התפרסם.,b,13,2
השיר שהמוזיקאי שהרדיו השמיע התפרסם.,c,13,3
השיר שהמוזיקאי שהרדיו השמיע כתב.,d,13,4
הממצא שהמדען שהוירוס הדביק חקר פורסם.,a,14,4
הממצא שהמדען שהוירוס חקר פורסם.,b,14,1
הממצא שהמדען שהוירוס הדביק פורסם.,c,14,2
הממצא שהמדען שהוירוס הדביק חקר.,d,14,3
הספר שהפרופסור שהגשם הרטיב קרא נהרס.,a,15,3
הספר שהפרופסור שהגשם קרא נהרס.,b,15,4
הספר שהפרופסור שהגשם הרטיב נהרס.,c,15,1
הספר שהפרופסור שהגשם הרטיב קרא.,d,15,2
המאמר שהסטודנט שהחומר בילבל למד סוכם.,a,16,2
המאמר שהסטודנט שהחומר למד סוכם.,b,16,3
המאמר שהסטודנט שהחומר בילבל סוכם.,c,16,4
המאמר שהסטודנט שהחומר בילבל למד.,d,16,1
המרק שהשף שהסכין חתך בישל נזרק.,a,17,1
המרק שהשף שהסכין בישל נזרק.,b,17,2
המרק שהשף שהסכין חתך נזרק.,c,17,3
המרק שהשף שהסכין חתך בישל.,d,17,4
היומן שהכלב שהקולר חנק לעס התפרק.,a,18,4
היומן שהכלב שהקולר לעס התפרק.,b,18,1
היומן שהכלב שהקולר חנק התפרק.,c,18,2
היומן שהכלב שהקולר חנק לעס.,d,18,3
השיעור שהמתרגל שהמזגן הקפיא לימד הסתיים.,a,19,3
השיעור שהמתרגל שהמזגן לימד הסתיים.,b,19,4
